invoice_no,unit_price,order_value,quantity,country,invoice_date,invoice_time,year_month,major_category,minor_category,description
549185,0.85,10.2,12,United Kingdom,2011-04-07,09:35:00,2011-04,Clothes,Tops,PACK OF 20 NAPKINS PANTRY DESIGN
576381,2.95,35.4,12,United Kingdom,2011-11-15,09:26:00,2011-11,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD 
551192,1.25,20,16,United Kingdom,2011-04-27,10:54:00,2011-04,Kitchen,Cutlery,36 PENCILS TUBE SKULLS
573553,7.46,7.46,1,United Kingdom,2011-10-31,13:48:00,2011-10,Garden,Turf,SET 6 SCHOOL MILK BOTTLES IN CRATE
539436,2.51,2.51,1,United Kingdom,2010-12-17,14:49:00,2010-12,Garden,Hoses,FINE WICKER HEART 
580893,3.95,3.95,1,United Kingdom,2011-12-06,12:38:00,2011-12,Garden,Hoses,SEWING BOX RETROSPOT DESIGN 
568321,2.1,12.6,6,United Kingdom,2011-09-26,13:36:00,2011-09,Clothes,Hats,3 TRADITIONAl BISCUIT CUTTERS  SET
552949,4.95,29.7,6,United Kingdom,2011-05-12,12:01:00,2011-05,Clothes,Tops,BULL DOG BOTTLE OPENER
567461,2.46,44.28,18,United Kingdom,2011-09-20,12:31:00,2011-09,Household,Curtains,STRAWBERRY CHARLOTTE BAG
542121,1.69,3.38,2,United Kingdom,2011-01-25,14:33:00,2011-01,Household,Lamps,FAIRY SOAP SOAP HOLDER
566913,0.39,1.56,4,United Kingdom,2011-09-15,14:07:00,2011-09,Kitchen,Cooking Knives,PACK OF 12 VINTAGE DOILY TISSUES
550477,0.55,0.55,1,United Kingdom,2011-04-18,14:01:00,2011-04,Household,Lamps,PACK OF 60 DINOSAUR CAKE CASES
538663,12.75,25.5,2,United Kingdom,2010-12-13,15:45:00,2010-12,Household,Rugs,CAKE STAND 3 TIER MAGIC GARDEN
570715,1.25,30,24,United Kingdom,2011-10-12,10:23:00,2011-10,Household,Chairs,ICE CREAM PEN LIP GLOSS 
549299,1.65,16.5,10,United Kingdom,2011-04-08,08:20:00,2011-04,Clothes,Shoes,LUNCH BAG CARS BLUE
559902,1.65,1.65,1,United Kingdom,2011-07-13,13:14:00,2011-07,Kitchen,Coasters,6 RIBBONS RUSTIC CHARM
537369,4.25,4.25,1,United Kingdom,2010-12-06,12:41:00,2010-12,Clothes,Tops,ROSE 3 WICK MORRIS BOX CANDLE
564353,2.1,25.2,12,United Kingdom,2011-08-24,15:08:00,2011-08,Kitchen,Scales,HAND WARMER SCOTTY DOG DESIGN
562455,4.25,25.5,6,United Kingdom,2011-08-05,10:32:00,2011-08,Household,Rugs,JAM MAKING SET WITH JARS
539451,1.28,1.28,1,United Kingdom,2010-12-17,16:59:00,2010-12,Clothes,Shoes,12 PENCILS SMALL TUBE RED RETROSPOT
537057,2.95,2.95,1,United Kingdom,2010-12-05,11:49:00,2010-12,Household,Rugs,PAPER CHAIN KIT 50'S CHRISTMAS 
549568,1.45,34.8,24,United Kingdom,2011-04-10,15:09:00,2011-04,Clothes,Hats,LAUNDRY 15C METAL SIGN
564758,3.29,3.29,1,United Kingdom,2011-08-30,10:39:00,2011-08,Clothes,Shoes,PANTRY MAGNETIC  SHOPPING LIST
541424,2.46,2.46,1,United Kingdom,2011-01-17,17:57:00,2011-01,Household,Chairs,SUMMER BUTTERFLIES BAG CHARM
559000,4.95,9.9,2,United Kingdom,2011-07-05,12:15:00,2011-07,Household,Curtains,SPOTTY BUNTING
550438,1.25,15,12,United Kingdom,2011-04-18,12:16:00,2011-04,Kitchen,Cooking Knives,PINK BLUE FELT CRAFT TRINKET BOX
549556,2.55,10.2,4,United Kingdom,2011-04-10,12:53:00,2011-04,Clothes,Shoes,QUEENS GUARD COFFEE MUG
550474,0.83,0.83,1,United Kingdom,2011-04-18,13:58:00,2011-04,Kitchen,Cutlery,TRAVEL CARD WALLET SUKI
559317,7.95,7.95,1,United Kingdom,2011-07-07,14:03:00,2011-07,Clothes,Hats,DOORMAT RED RETROSPOT
545906,2.1,12.6,6,United Kingdom,2011-03-08,09:23:00,2011-03,Kitchen,Plates,3 PIECE SPACEBOY COOKIE CUTTER SET
568538,7.08,424.8,60,United Kingdom,2011-09-27,14:07:00,2011-09,Garden,Turf,DOORMAT NEW ENGLAND
575944,0.21,6.3,30,United Kingdom,2011-11-13,11:46:00,2011-11,Household,Chairs,SLEEPING CAT ERASERS
545797,2.95,2.95,1,United Kingdom,2011-03-07,12:17:00,2011-03,Kitchen,Plates,SET 12 LAVENDER  BOTANICAL T-LIGHTS
540349,1.65,19.8,12,United Kingdom,2011-01-06,14:07:00,2011-01,Clothes,Hats,PLASTERS IN TIN VINTAGE PAISLEY 
551174,3.29,3.29,1,United Kingdom,2011-04-26,17:02:00,2011-04,Garden,Seeds,HOMEMADE JAM SCENTED CANDLES
541592,1.63,9.78,6,United Kingdom,2011-01-19,15:08:00,2011-01,Household,Curtains,SCOTTIES CHILDRENS APRON
536769,1.25,25,20,United Kingdom,2010-12-02,14:47:00,2010-12,Clothes,Hats,3D TRADITIONAL CHRISTMAS STICKERS
581166,2.95,2.95,1,United Kingdom,2011-12-07,14:43:00,2011-12,Kitchen,Cutlery,PAPER CHAIN KIT 50'S CHRISTMAS 
548978,7.95,15.9,2,United Kingdom,2011-04-05,12:08:00,2011-04,Garden,Turf,DOORMAT NEW ENGLAND
558315,1.65,19.8,12,United Kingdom,2011-06-28,11:44:00,2011-06,Garden,Hoses,CLOTHES PEGS RETROSPOT PACK 24 
546009,4.25,4.25,1,United Kingdom,2011-03-08,15:45:00,2011-03,Kitchen,Coasters,AIRLINE BAG VINTAGE TOKYO 78
542835,0.29,6.96,24,United Kingdom,2011-02-01,11:30:00,2011-02,Garden,Hoses,JASMINE VOTIVE CANDLE
558315,7.95,15.9,2,United Kingdom,2011-06-28,11:44:00,2011-06,Clothes,Tops,ROUND CAKE TIN VINTAGE RED
541695,8.29,8.29,1,United Kingdom,2011-01-20,18:01:00,2011-01,Garden,Turf,SET OF 6 SPICE TINS PANTRY DESIGN
551824,1.25,15,12,United Kingdom,2011-05-04,12:32:00,2011-05,Household,Curtains,SET OF SALT AND PEPPER TOADSTOOLS
553869,2.08,20.8,10,United Kingdom,2011-05-19,14:27:00,2011-05,Household,Curtains,JUMBO BAG VINTAGE LEAF
566602,0.83,0.83,1,United Kingdom,2011-09-13,16:05:00,2011-09,Kitchen,Coasters,"LETTER '"M'" BLING KEY RING"
575647,1.65,9.9,6,United Kingdom,2011-11-10,14:16:00,2011-11,Kitchen,Cutlery,PLASTERS IN TIN WOODLAND ANIMALS
572513,1.45,2.9,2,United Kingdom,2011-10-24,14:36:00,2011-10,Household,Lamps,SET OF 36 PAISLEY FLOWER DOILIES
542890,2.95,11.8,4,United Kingdom,2011-02-01,13:25:00,2011-02,Household,Lamps,PAPER BUNTING COLOURED LACE
547883,0.55,13.2,24,United Kingdom,2011-03-28,08:40:00,2011-03,Garden,Rakes,PACK OF 60 PINK PAISLEY CAKE CASES
560264,2.95,17.7,6,United Kingdom,2011-07-17,13:46:00,2011-07,Household,Chairs,NATURAL SLATE HEART CHALKBOARD 
539437,5.91,23.64,4,United Kingdom,2010-12-17,14:54:00,2010-12,Kitchen,Plates,OFFICE MUG WARMER BLACK+SILVER 
555278,4.13,4.13,1,United Kingdom,2011-06-01,17:33:00,2011-06,Kitchen,Cutlery,NUMBER TILE COTTAGE GARDEN 1
581492,7.46,7.46,1,United Kingdom,2011-12-09,10:03:00,2011-12,Garden,Rakes,FOOD COVER WITH BEADS SET 2 
568142,3.95,3.95,1,United Kingdom,2011-09-25,11:22:00,2011-09,Garden,Rakes,GLASS APOTHECARY BOTTLE ELIXIR
545764,2.95,70.8,24,United Kingdom,2011-03-07,12:00:00,2011-03,Clothes,Hats,PAPER CHAIN KIT EMPIRE
581015,1.95,15.6,8,United Kingdom,2011-12-07,09:35:00,2011-12,Kitchen,Plates,GINGHAM HEART  DOORSTOP RED
537397,2.1,25.2,12,United Kingdom,2010-12-06,14:19:00,2010-12,Kitchen,Coasters,HAND WARMER BABUSHKA DESIGN
543546,5.79,5.79,1,United Kingdom,2011-02-09,16:52:00,2011-02,Kitchen,Scales,PAPER CHAIN KIT RETROSPOT
567662,2.08,8.32,4,United Kingdom,2011-09-21,15:12:00,2011-09,Kitchen,Cooking Knives,JUMBO BAG SCANDINAVIAN BLUE PAISLEY
574706,3.75,15,4,United Kingdom,2011-11-06,14:06:00,2011-11,Garden,Rakes,VINTAGE SNAKES & LADDERS
543815,1.65,3.3,2,United Kingdom,2011-02-13,15:18:00,2011-02,Household,Curtains,EASTER TIN CHICKS PINK DAISY
547987,0.85,8.5,10,United Kingdom,2011-03-29,09:11:00,2011-03,Clothes,Shoes,CHARLOTTE BAG SUKI DESIGN
575647,4.95,59.4,12,United Kingdom,2011-11-10,14:16:00,2011-11,Household,Curtains,HOT WATER BOTTLE KEEP CALM
551197,2.25,2.25,1,United Kingdom,2011-04-27,11:26:00,2011-04,Kitchen,Cutlery,ABC TREASURE BOOK BOX 
577078,0.83,7.47,9,United Kingdom,2011-11-17,15:17:00,2011-11,Kitchen,Scales,WOODEN TREE CHRISTMAS SCANDINAVIAN
538349,0.85,1.7,2,United Kingdom,2010-12-10,14:59:00,2010-12,Household,Lamps,CARD PARTY GAMES 
567668,14.96,14.96,1,United Kingdom,2011-09-21,15:29:00,2011-09,Household,Lamps,PARISIENNE CURIO CABINET
581471,8.5,8.5,1,United Kingdom,2011-12-08,19:29:00,2011-12,Household,Curtains,IVORY KITCHEN SCALES
537144,2.95,8.85,3,United Kingdom,2010-12-05,13:00:00,2010-12,Household,Curtains,IVORY PILLAR CANDLE SILVER FLOCK
552677,8.29,8.29,1,United Kingdom,2011-05-10,15:07:00,2011-05,Clothes,Shoes,OWL DOORSTOP
547223,1.65,9.9,6,United Kingdom,2011-03-21,15:10:00,2011-03,Kitchen,Scales,CHILDREN'S SPACEBOY MUG
580865,2.08,2.08,1,United Kingdom,2011-12-06,11:58:00,2011-12,Clothes,Tops,JUMBO BAG ALPHABET
561693,1.45,17.4,12,United Kingdom,2011-07-29,09:48:00,2011-07,Household,Lamps,HOMEMADE JAM SCENTED CANDLES
547886,4.25,12.75,3,United Kingdom,2011-03-28,09:21:00,2011-03,Clothes,Tops,BROWN CHECK CAT DOORSTOP 
579508,5.79,5.79,1,United Kingdom,2011-11-29,16:33:00,2011-11,Garden,Seeds,GLASS JAR DIGESTIVE BISCUITS
560224,2.08,4.16,2,United Kingdom,2011-07-15,16:06:00,2011-07,Kitchen,Scales,JUMBO BAG DOILEY PATTERNS
565234,5.79,52.11,9,United Kingdom,2011-09-02,09:38:00,2011-09,Garden,Hoses,ROSES REGENCY TEACUP AND SAUCER 
545276,1.25,52.5,42,United Kingdom,2011-03-01,11:30:00,2011-03,Clothes,Hats,ANTIQUE SILVER TEA GLASS ENGRAVED
557645,1.63,1.63,1,United Kingdom,2011-06-21,17:08:00,2011-06,Clothes,Shoes,RETRO MOD TRAY
552560,2.08,20.8,10,United Kingdom,2011-05-10,11:48:00,2011-05,Household,Curtains,JUMBO BAG DOLLY GIRL DESIGN
536638,4.25,17,4,United Kingdom,2010-12-02,11:41:00,2010-12,Clothes,Shoes,RED RETROSPOT PUDDING BOWL
572023,0.85,0.85,1,United Kingdom,2011-10-20,11:03:00,2011-10,Clothes,Shoes,PACK OF 20 SPACEBOY NAPKINS
550210,202.42,202.42,1,United Kingdom,2011-04-15,10:40:00,2011-04,Household,Chairs,DOTCOM POSTAGE
545661,0.42,10.5,25,United Kingdom,2011-03-04,14:41:00,2011-03,Household,Rugs,WRAP ENGLISH ROSE 
542401,1.65,4.95,3,United Kingdom,2011-01-27,15:51:00,2011-01,Household,Rugs,WOOD STAMP SET THANK YOU
537240,3.36,23.52,7,United Kingdom,2010-12-06,10:08:00,2010-12,Kitchen,Coasters,CHRISTMAS PUDDING TRINKET POT 
557281,2.55,10.2,4,United Kingdom,2011-06-19,12:23:00,2011-06,Household,Rugs,PIGGY BANK RETROSPOT 
